condition,simulator,n_sequences,events_per_second,events_per_pixel,on_fraction,events_per_second_per_pixel,active_pixel_fraction,delay_inter_event_per_pixel_us,events_per_second_vs_vivid,events_per_pixel_vs_vivid,events_per_second_per_pixel_vs_vivid,delay_vs_vivid,on_fraction_diff_pp_vs_vivid,active_pixel_diff_pp_vs_vivid
dark,vivid,3,71632.00292395537,33.68441358024691,0.4136548086764691,1.6581482158323002,0.9999768518518518,1067578.2524097231,1.0,1.0,1.0,1.0,0.0,0.0
dark,dvs_voltmeter,3,73379.91573204055,17.00565436490292,0.5715896094286675,0.8156949281018292,0.9999592411442122,3004835.0932115656,1.0863102540844063,0.521048201001274,0.521660771192156,3.0278774336225442,15.79348007521984,-0.0017610707639614809
dark,iebcs,3,70300.33092904296,16.996035274937007,0.5435512301053181,0.781462104591407,1.0,2388429.460467078,1.16250203596365,0.5541871640456265,0.5582490879683156,3.0877126525116805,12.989642142884904,0.002314814814815177
dark,pix2nvs,3,20261.320228140667,5.200955980435749,0.4951052732233164,0.2252258807040981,0.8558285163776493,1548451.0842820136,0.36832138739359976,0.17719355498750744,0.1768728761160906,2.495263819371512,8.145046454684733,-14.414833547420251
dark,v2e,3,230281.76703892858,52.24673929153698,0.504628294108616,2.5598239999880903,0.8579294501259819,180934.62292028687,3.227425111759697,1.5531798234993868,1.549852877145608,0.2310959385747572,9.097348543214688,-14.204740172586995
dark,vid2e,3,24648457.004830923,94.52776419149252,0.5003218366220877,273.99351939563047,0.04855861864532385,210.13802758353623,429.0081942490867,2.8685945792595633,206.01549568208702,0.00030639555318997635,8.666702794561866,-95.14182332065279
global,vivid,3,456907.1279648617,255.209375,0.41857841831455705,10.576553888075502,1.0,148498.85019660636,1.0,1.0,1.0,1.0,0.0,0.0
global,dvs_voltmeter,3,1326106.7694033368,383.82488142878316,0.5317000678421618,14.741071247258079,1.0,87828.1176321984,3.2299082057080573,1.5396910804274953,1.551045292203069,0.7487428375551199,11.312164952760474,0.0
global,iebcs,3,552661.297522685,169.24948125092632,0.48024608230246507,6.143411488691474,1.0,250572.94753506148,1.4444665522379558,0.6882784275086777,0.6936522349564217,2.1339052481992815,6.166766398790801,0.0
global,pix2nvs,3,378572.9647049647,110.6739662072032,0.4995103395491454,4.2082366018782205,1.0,325741.8434203807,0.929976046517163,0.44446996145674916,0.44658698543287517,2.4911414755971157,8.09319212345884,0.0
global,v2e,3,2537436.1766261808,731.1617200237142,0.5015791449686565,28.206271416476,1.0,56688.14572418295,6.124388277121749,2.927781876015176,2.9410134901251617,0.46963210398534344,8.300072665409948,0.0
global,vid2e,3,218352109.178744,837.38859122573,0.5013476181248114,2427.2133079006667,0.08959537572254335,113.9356410220659,705.7760618324091,3.364415062477812,338.92314218719514,0.0009835947618858005,8.276919981025445,-91.04046242774565
local,vivid,3,61881.084574394954,26.18926697530864,0.4642619817282585,1.4324325132961793,0.9957793209876543,854076.2534881785,1.0,1.0,1.0,1.0,0.0,0.0
local,dvs_voltmeter,3,1570406.630917122,331.00437972432195,0.5159068678340749,17.45672110846067,1.0,64387.197694401875,26.5890770501085,12.74190018652338,12.768431842648814,0.09787903659515575,5.164488610581643,0.4220679012345685
local,iebcs,3,967853.1653437164,216.81276122721206,0.4711628389443335,10.75870570635523,1.0,109670.41849148163,17.485550133222826,8.384057969038734,8.396795973268409,0.18033261528055092,0.6900857216075029,0.4220679012345685
local,pix2nvs,3,524833.5398827906,113.49163702386245,0.5009930063397036,5.834076699452986,1.0,175109.60403172323,9.105250693775654,4.379731113270352,4.372463650190176,0.2701581767536229,3.6731024611444987,0.4220679012345685
local,v2e,3,3666056.545047236,771.9537498147325,0.49941386855953795,40.75207364436679,1.0,29072.717034017744,61.68358363914002,29.67049550582888,29.621285162414953,0.04406256875250016,3.5151886831279437,0.4220679012345685
local,vid2e,3,246284942.99516907,944.5120646213132,0.4996890784985948,2737.7161293371396,0.06454720616570328,61.29755803386487,5088.392285326533,36.39941925812639,2443.5143033137642,9.926466318144535e-05,3.542709677033631,-93.12321148219512
varying,vivid,1,183180.92844677137,151.85571759259258,0.3490621503995249,4.24029926960119,1.0,256917.04055808482,1.0,1.0,1.0,1.0,0.0,0.0
varying,dvs_voltmeter,1,1081011.625121261,429.6588372610049,0.514692303077175,12.016580981783692,1.0,77888.1212875484,5.901332820438133,2.829388606978361,2.8338992645945673,0.3031644811039272,16.563015267765007,0.0
varying,iebcs,1,970395.6968482309,385.73220320142286,0.46875478829983536,10.786968617699321,1.0,88978.51941743775,5.297471221902929,2.540123014902131,2.5439168162094985,0.34633171557696324,11.969263790031048,0.0
varying,pix2nvs,1,418670.988718117,166.73111382836817,0.4877617243292295,4.653968305003524,1.0,201846.37037086225,2.2855599230122596,1.0979574326972934,1.0975565659640907,0.7856480439460303,13.869957392970461,0.0
varying,v2e,1,2868027.3447863446,1142.198999555358,0.5030874952757712,31.88113989313411,1.0,29380.949033417503,15.656801006005026,7.521606809825339,7.518606085587117,0.11435967411735362,15.402534487624637,0.0
varying,vid2e,1,438694162.3188406,1682.4086927523344,0.5029151073562285,4876.546935514013,0.10404624277456648,31.096464916315647,2394.868101382706,11.078994715668191,1150.0478210286,0.00012103698862779496,15.38529569567036,-89.59537572254335
