simulator,sequence,temporal_window_rmse_vs_vivid,n_windows_simulator,n_windows_vivid,n_windows_compared
dvs_voltmeter,dark_aggressive,55636.706790306955,17,17,17
iebcs,dark_aggressive,60082.800123222114,17,17,17
pix2nvs,dark_aggressive,108857.98424282788,17,17,17
v2e,dark_aggressive,359583.86775565677,17,17,17
vid2e,dark_aggressive,2751616.770603068,1,17,17
dvs_voltmeter,dark_robust,24878.216138966694,35,35,35
iebcs,dark_robust,26249.690339942244,35,35,35
pix2nvs,dark_robust,18418.34090730698,36,35,36
v2e,dark_robust,102853.2876293542,36,35,36
vid2e,dark_robust,1089534.5176538203,1,35,35
dvs_voltmeter,dark_unstable,40138.98165066449,21,21,21
iebcs,dark_unstable,29951.902327692296,21,21,21
pix2nvs,dark_unstable,56626.48243744348,21,21,21
v2e,dark_unstable,228719.2842990851,21,21,21
vid2e,dark_unstable,1684486.2429629199,1,21,21
dvs_voltmeter,global_aggressive,1221481.8413397577,17,17,17
iebcs,global_aggressive,218698.0164520447,17,17,17
pix2nvs,global_aggressive,285863.7092428118,17,17,17
v2e,global_aggressive,3157153.66548482,17,17,17
vid2e,global_aggressive,15918674.64455254,1,17,17
dvs_voltmeter,global_robust-007,640257.1465871688,52,53,53
iebcs,global_robust-007,256228.54352025155,52,53,53
pix2nvs,global_robust-007,109821.6278305803,52,53,53
v2e,global_robust-007,1376090.8328239913,52,53,53
vid2e,global_robust-007,12067915.194157675,1,53,53
dvs_voltmeter,global_unstable,962837.0796802368,24,24,24
iebcs,global_unstable,222449.57187706986,24,24,24
pix2nvs,global_unstable,208696.33402406314,24,24,24
v2e,global_unstable,2380532.938340681,24,24,24
vid2e,global_unstable,14789716.541396018,1,24,24
dvs_voltmeter,local_aggressive,2238333.18123083,14,14,14
iebcs,local_aggressive,1088886.4941997267,14,14,14
pix2nvs,local_aggressive,630007.6177465748,14,14,14
v2e,local_aggressive,5475678.644158568,14,14,14
vid2e,local_aggressive,21141746.69276913,1,14,14
dvs_voltmeter,local_robust,1004733.7249559778,35,35,35
iebcs,local_robust,734030.6519256536,35,35,35
pix2nvs,local_robust,335820.7433408484,36,35,36
v2e,local_robust,2338361.906123179,36,35,36
vid2e,local_robust,16845482.884699,1,35,35
dvs_voltmeter,local_unstable,1631589.4170577454,18,18,18
iebcs,local_unstable,918363.5823316082,18,18,18
pix2nvs,local_unstable,503764.4032076017,18,18,18
v2e,local_unstable,3840392.4697808847,18,18,18
vid2e,local_unstable,17936966.91194949,1,18,18
dvs_voltmeter,varying_robust-008,995966.8077216061,36,36,36
iebcs,varying_robust-008,823320.6062175563,36,36,36
pix2nvs,varying_robust-008,277620.1666382005,36,36,36
v2e,varying_robust-008,2902166.3844214194,36,36,36
vid2e,varying_robust-008,25208463.4000232,1,36,36
